code_name,p,decoder_name,repeat_id,seed,num_shots,num_failures,logical_error_rate,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,p50_latency_ms_per_shot,p95_latency_ms_per_shot,p99_latency_ms_per_shot,avg_bp_iterations_per_shot,p95_bp_iterations_per_shot,bp_converged_fraction,syndrome_avg_weight,syndrome_p95_weight,syndrome_avg_relative_weight,syndrome_p95_relative_weight,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,code_file,ci_method
bb_n72_k12,0.03,BP-OSD,0,2007,1000,46,0.046,0.03466249276326498,0.06081220394161907,0.01948439999250695,0.012599999536178075,0.044424999759939944,0.14430700010052533,3.121,15.149999999999864,0.965,5.495,12.0,0.15263888888888888,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-LSD,0,2007,1000,45,0.045,0.03379951228563171,0.059682837936223455,0.023870700046245474,0.01300000076298602,0.04022000048280459,0.2667629989809938,2.767,10.099999999999909,0.965,5.495,12.0,0.15263888888888888,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-OSD,1,2008,1000,38,0.038,0.02780900450930263,0.05172692033135032,0.02357880108320387,0.014200000805431046,0.08815500068521928,0.1850190007826313,3.23,30.0,0.953,5.628,12.0,0.15633333333333332,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-LSD,1,2008,1000,38,0.038,0.02780900450930263,0.05172692033135032,0.021739900008469704,0.01230000088980887,0.06268999959502217,0.20568600044498436,2.956,16.199999999999818,0.953,5.628,12.0,0.15633333333333332,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-OSD,2,2009,1000,44,0.044,0.0329382145884185,0.058551789150407776,0.02397429997654399,0.015499999790336005,0.07161499952417215,0.1967749989307776,3.081,19.049999999999955,0.957,5.867,12.0,0.1629722222222222,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-LSD,2,2009,1000,44,0.044,0.0329382145884185,0.058551789150407776,0.0236594000034529,0.012700000297627412,0.04914499922961109,0.2849529993181931,2.944,17.09999999999991,0.957,5.867,12.0,0.1629722222222222,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-OSD,3,2010,1000,35,0.035,0.02527226301711295,0.04828662237445333,0.016596999988905736,0.011199999789823778,0.036304999957792454,0.14572299985957213,2.835,7.199999999999818,0.966,5.383,12.0,0.1495277777777778,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-LSD,3,2010,1000,35,0.035,0.02527226301711295,0.04828662237445333,0.023696899985225173,0.01340000017080456,0.04282500030967638,0.27500700032760506,2.57,5.0,0.966,5.383,12.0,0.1495277777777778,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-OSD,4,2011,1000,36,0.036,0.02611557140738732,0.049435660467207834,0.021011000006183167,0.013300001228344627,0.05324500052665813,0.15011600060461203,3.01,15.049999999999955,0.962,5.573,12.0,0.15480555555555556,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.03,BP-LSD,4,2011,1000,36,0.036,0.02611557140738732,0.049435660467207834,0.020869399995717686,0.011500000255182385,0.050264999481441766,0.20790400052646874,2.777,10.049999999999955,0.962,5.573,12.0,0.15480555555555556,0.3333333333333333,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
