code_name,p,repeat_id,seed,num_shots,delta_ler,delta_avg_latency,delta_p95_latency,delta_p99_latency,delta_avg_bp_iterations,delta_bp_converged_fraction,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,syndrome_avg_weight,syndrome_p95_weight
bb_n96_k10,0.02,1,101008,1000,0.0,-0.0025194999634550012,-0.004795000131707604,-0.009866998989309692,-0.07600000000000007,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.852,14.0
bb_n96_k10,0.02,2,101009,1000,0.0,0.005480700017869801,0.004395000723889098,-0.07079699993482788,-0.133,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.426,14.0
bb_n96_k10,0.02,3,101010,1000,0.0,0.0013640999131893997,-0.0008249989150500014,0.0191800017455534,-0.10400000000000009,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.604,14.0
bb_n96_k10,0.02,4,101011,1000,0.0,0.0014685999758513,0.0011850001101266008,0.0146060002225568,-0.131,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.72,14.0
bb_n96_k10,0.03,0,102007,1000,0.0,0.0042994000250473965,0.007010000535956296,0.1125730019703039,-0.1459999999999999,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.228,16.0
bb_n96_k10,0.03,1,102008,1000,0.0,0.0026334009889978985,-0.0034050003705487983,0.12512299943409738,-0.1429999999999998,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.234,16.09999999999991
bb_n96_k10,0.03,2,102009,1000,0.0,0.031756399988808,0.0076399996942199955,0.1531879990579908,-0.12399999999999967,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.322,18.0
bb_n96_k10,0.03,3,102010,1000,0.0,0.008171900004526899,0.0132899995151093,0.1422130015271249,-0.10599999999999987,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.2,16.0
bb_n96_k10,0.03,4,102011,1000,0.0,0.004045199932079399,-0.0002599997969808948,0.11658500125122362,-0.07699999999999996,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.294,16.0
bb_n96_k10,0.05,0,103007,1000,0.0,0.0218136010098533,0.12956000018675684,0.14837700146017585,-0.07399999999999984,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.618,22.0
bb_n96_k10,0.05,1,103008,1000,0.0,0.0210554999739542,0.1135700006670961,0.22727600015059574,-0.028999999999999915,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.758,22.0
bb_n96_k10,0.05,2,103009,1000,0.0,0.02087619999110761,0.1071950009645663,0.15471099999558657,-0.07600000000000051,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.916,22.0
bb_n96_k10,0.05,3,103010,1000,0.0,0.017144299046776695,0.0911799995265028,0.07153900054618134,-0.028999999999999915,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.592,22.0
bb_n96_k10,0.05,4,103011,1000,0.0,0.053020101051515695,0.2602250004201778,0.5217669993362504,-0.0909999999999993,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.802,20.09999999999991
bb_n144_k12,0.01,0,200007,1000,0.0,0.007867799988161998,0.006354998913593604,-0.022360999591910596,-0.06299999999999994,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,4.116,10.0
bb_n144_k12,0.01,1,200008,1000,0.0,0.0009585000170772989,-0.003694999122672002,-0.036109998418396606,-0.03699999999999992,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,4.203,10.0
bb_n144_k12,0.01,2,200009,1000,0.0,0.0184722999711085,0.017910001588461393,0.18598699838548738,-0.04800000000000004,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,4.112,10.0
bb_n144_k12,0.01,3,200010,1000,0.0,0.005657699963194297,-0.0012000000424449986,-0.006045000191079397,-0.04200000000000004,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,4.153,10.0
