code_name,decoder_name,p,num_repeats,shots_per_repeat,num_shots,num_failures,num_failures_total,logical_error_rate,ler_mean,ler_std,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,avg_latency_mean,avg_latency_std,p50_latency_ms_per_shot,p50_latency_mean,p50_latency_std,p95_latency_ms_per_shot,p95_latency_mean,p95_latency_std,p99_latency_ms_per_shot,p99_latency_mean,p99_latency_std,avg_bp_iterations_mean,avg_bp_iterations_std,p95_bp_iterations_mean,p95_bp_iterations_std,bp_converged_fraction_mean,bp_converged_fraction_std,syndrome_avg_weight_mean,syndrome_avg_weight_std,syndrome_p95_weight_mean,syndrome_p95_weight_std,syndrome_avg_relative_weight_mean,syndrome_avg_relative_weight_std,syndrome_p95_relative_weight_mean,syndrome_p95_relative_weight_std,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,seed_base,code_file,ci_method
bb_n96_k10,BP-OSD,0.02,5,1000,5000,10,10,0.002,0.002,0.002,0.0010867468609438854,0.0036778842763330113,0.024558980006258935,0.024558980006258935,0.0029672791462828064,0.019350000366102904,0.019350000366102904,0.002651414809066122,0.04083799978616297,0.04083799978616297,0.005265069787466982,0.12865079943003357,0.12865079943003357,0.07658613483823301,1.7893999999999999,0.07179345374057441,3.8,0.44721359549995787,0.9964000000000001,0.0018165902124584966,6.6604,0.15807846153097518,14.0,0.0,0.13875833333333334,0.0032933012818953215,0.2916666666666667,0.0,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,101007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-LSD,0.02,5,1000,5000,10,10,0.002,0.002,0.002,0.0010867468609438854,0.0036778842763330113,0.02475714000320295,0.02475714000320295,0.005835587779954543,0.018459999955666717,0.018459999955666717,0.004545244862206558,0.039251000125659616,0.039251000125659616,0.008114619809080379,0.10853960026361156,0.10853960026361156,0.054640402637744244,1.685,0.055506756345511686,3.4,0.5477225575051661,0.9964000000000001,0.0018165902124584966,6.6604,0.15807846153097518,14.0,0.0,0.13875833333333334,0.0032933012818953215,0.2916666666666667,0.0,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,101007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-OSD,0.03,5,1000,5000,76,76,0.0152,0.0152,0.005540758070878026,0.012161871202107252,0.01898249260382014,0.030705940002007992,0.030705940002007992,0.005623424774756155,0.019330000031914096,0.019330000031914096,0.004349942120483516,0.05197600037718072,0.05197600037718072,0.007906319862205843,0.35292359926825156,0.35292359926825156,0.039808391285332326,3.089,0.15608010763707209,8.20999999999999,1.0818964830333937,0.9747999999999999,0.00661059755241537,9.255599999999998,0.05050544525098264,16.41999999999998,0.8843076387773741,0.192825,0.0010521967760621397,0.3420833333333329,0.01842307580786197,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,102007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-LSD,0.03,5,1000,5000,76,76,0.0152,0.0152,0.005540758070878026,0.012161871202107252,0.01898249260382014,0.040887200189899886,0.040887200189899886,0.010878047405817534,0.01990000000660075,0.01990000000660075,0.0031648461282535014,0.05683100029273188,0.05683100029273188,0.008460327230928476,0.48285999991639966,0.48285999991639966,0.03151523683974561,2.9698,0.14131418895496653,7.6,0.5477225575051661,0.9747999999999999,0.00661059755241537,9.255599999999998,0.05050544525098264,16.41999999999998,0.8843076387773741,0.192825,0.0010521967760621397,0.3420833333333329,0.01842307580786197,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,102007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-OSD,0.05,5,1000,5000,654,654,0.1308,0.1308,0.01008464178838297,0.12173670276404243,0.1404301683521878,0.08957270018872805,0.08957270018872805,0.006597235691786285,0.028450000172597356,0.028450000172597356,0.0016473466933215662,0.3830019995257315,0.3830019995257315,0.02116723900655585,0.5076695994684995,0.5076695994684995,0.04146275703899368,9.0456,0.4504678678884881,30.0,0.0,0.8136000000000001,0.012660963628413078,13.737200000000001,0.1340641637425899,21.619999999999983,0.8497058314499608,0.2861916666666666,0.0027930034113039467,0.4504166666666663,0.017702204821874165,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,103007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-LSD,0.05,5,1000,5000,654,654,0.1308,0.1308,0.01008464178838297,0.12173670276404243,0.1404301683521878,0.11635464040336956,0.11635464040336956,0.015783921369074545,0.03131000012217555,0.03131000012217555,0.004196188496200836,0.5233479998787515,0.5233479998787515,0.06911763908001971,0.7324035997662575,0.7324035997662575,0.1485330080883565,8.985800000000001,0.42552520489390555,30.0,0.0,0.8136000000000001,0.012660963628413078,13.737200000000001,0.1340641637425899,21.619999999999983,0.8497058314499608,0.2861916666666666,0.0027930034113039467,0.4504166666666663,0.017702204821874165,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,103007,bbcode_n96_k10.npz,wilson_95
bb_n144_k12,BP-OSD,0.01,5,1000,5000,3,3,0.0006000000000000001,0.0006000000000000001,0.0008944271909999159,0.00020407465419434642,0.001762706048528709,0.026461800004108228,0.026461800004108228,0.002554881175582978,0.019950000023527537,0.019950000023527537,0.0011565037814607294,0.045645000118383905,0.045645000118383905,0.0039885511719763116,0.10963799999444743,0.10963799999444743,0.019431285725269167,1.1960000000000002,0.03687139812917332,2.0,0.0,0.9986,0.001140175425099139,4.0968,0.11593834568424724,9.8,0.4472135954999579,0.05689999999999999,0.001610254801170099,0.13611111111111113,0.006211299937499418,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,200007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-LSD,0.01,5,1000,5000,3,3,0.0006000000000000001,0.0006000000000000001,0.0008944271909999159,0.00020407465419434642,0.001762706048528709,0.03411189999642374,0.03411189999642374,0.006276144024293555,0.027659999977913685,0.027659999977913685,0.006140683718813625,0.050458000259823145,0.050458000259823145,0.008846683717040709,0.1327926000813021,0.1327926000813021,0.09160131859016754,1.152,0.03392639090737477,2.0,0.0,0.9986,0.001140175425099139,4.0968,0.11593834568424724,9.8,0.4472135954999579,0.05689999999999999,0.001610254801170099,0.13611111111111113,0.006211299937499418,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,200007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-OSD,0.02,5,1000,5000,21,21,0.004200000000000001,0.004200000000000001,0.0013038404810405298,0.002748774410314672,0.006412478838403972,0.030183730396674945,0.030183730396674945,0.0025523982489078357,0.022330000319925603,0.022330000319925603,0.0021993183579340886,0.048230999746010625,0.048230999746010625,0.003696892917091772,0.19333780022498095,0.19333780022498095,0.051083900920646824,1.759,0.06850547423381584,3.4,0.5477225575051661,0.9914,0.002073644135332774,7.847799999999999,0.16793064044420242,15.2,0.4472135954999579,0.10899722222222222,0.0023323700061694762,0.2111111111111111,0.006211299937499406,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,201007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-LSD,0.02,5,1000,5000,21,21,0.004200000000000001,0.004200000000000001,0.0013038404810405298,0.002748774410314672,0.006412478838403972,0.03514941400899261,0.03514941400899261,0.0030100049402367822,0.024879999728000257,0.024879999728000257,0.004336848256524526,0.052252000477892566,0.052252000477892566,0.004319330891015091,0.24780859759994164,0.24780859759994164,0.08684372453795046,1.7149999999999999,0.07678541528180988,3.4,0.5477225575051661,0.9914,0.002073644135332774,7.847799999999999,0.16793064044420242,15.2,0.4472135954999579,0.10899722222222222,0.0023323700061694762,0.2111111111111111,0.006211299937499406,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,201007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-OSD,0.03,5,1000,5000,38,38,0.007600000000000001,0.007600000000000001,0.0027018512172212587,0.0055422231900968295,0.010413809685395427,0.034438679400409455,0.034438679400409455,0.0024999799829329905,0.023260000125446822,0.023260000125446822,0.001923343982592764,0.0563670100927993,0.0563670100927993,0.005935904013909935,0.2815017981556592,0.2815017981556592,0.029521083197698583,2.7729999999999997,0.1466526508454587,6.2,0.8366600265340756,0.977,0.003937003937005909,11.1414,0.097125176962516,19.2,0.4472135954999579,0.1547416666666667,0.0013489607911460549,0.26666666666666666,0.006211299937499418,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,202007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-LSD,0.03,5,1000,5000,38,38,0.007600000000000001,0.007600000000000001,0.0027018512172212587,0.0055422231900968295,0.010413809685395427,0.03959158599936927,0.03959158599936927,0.0022190401551466393,0.023560100089525804,0.023560100089525804,0.0010686192446139212,0.059282000183884465,0.059282000183884465,0.009253068369322303,0.4808597999945049,0.4808597999945049,0.04357943090757367,2.7464,0.14613965923047734,6.2,0.8366600265340756,0.977,0.003937003937005909,11.1414,0.097125176962516,19.2,0.4472135954999579,0.1547416666666667,0.0013489607911460549,0.26666666666666666,0.006211299937499418,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,202007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-OSD,0.05,5,1000,5000,286,286,0.057199999999999994,0.057199999999999994,0.008757853618324528,0.0510966231678006,0.063983253674742,0.07174474580715469,0.07174474580715469,0.003632700928895675,0.036049999653187115,0.036049999653187115,0.0023669601594303513,0.279242389515275,0.279242389515275,0.018881520948830194,0.41039599798750703,0.41039599798750703,0.03827509318640969,7.8828000000000005,0.399560633696564,30.0,0.0,0.861,0.011704699910719636,16.7932,0.19896029754702255,25.20999999999999,0.442153819388687,0.23323888888888886,0.0027633374659308692,0.35013888888888883,0.00614102526928732,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,203007,bbcode_n144_k12.npz,wilson_95
bb_n144_k12,BP-LSD,0.05,5,1000,5000,286,286,0.057199999999999994,0.057199999999999994,0.008757853618324528,0.0510966231678006,0.063983253674742,0.09812468181771691,0.09812468181771691,0.00429898657242783,0.036650100082624704,0.036650100082624704,0.0030066922374793158,0.4966674000570491,0.4966674000570491,0.03251722477291825,0.7593609995383301,0.7593609995383301,0.05006336818075938,7.8812,0.39753515567808584,30.0,0.0,0.861,0.011704699910719636,16.7932,0.19896029754702255,25.20999999999999,0.442153819388687,0.23323888888888886,0.0027633374659308692,0.35013888888888883,0.00614102526928732,independent_z_only,144,12,12.0,72,144,72,144,0.041666666666666664,0.041666666666666664,6.0,6.0,203007,bbcode_n144_k12.npz,wilson_95
bb_n64_k10,BP-OSD,0.01,5,1000,5000,4,4,0.0008,0.0008,0.0008366600265340756,0.00031114697610156263,0.0020553266458434704,0.009234344986543875,0.009234344986543875,0.0008239227885589207,0.007189999996626284,0.007189999996626284,0.0011986448038119896,0.019243000588176074,0.019243000588176074,0.0016941689110622988,0.034407999493851066,0.034407999493851066,0.008844321943361325,1.5292,0.11851877488398202,2.8199999999999816,0.4309872387902132,0.9982000000000001,0.00044721359549995833,2.384,0.07771743691090185,8.0,0.0,0.0745,0.002428669903465683,0.25,0.0,independent_z_only,64,10,,32,64,32,64,0.125,0.125,8.0,8.0,300007,bbcode_n64_k10.npz,wilson_95
bb_n64_k10,BP-LSD,0.01,5,1000,5000,4,4,0.0008,0.0008,0.0008366600265340756,0.00031114697610156263,0.0020553266458434704,0.013822828784759622,0.013822828784759622,0.0014925263322870244,0.010469999688211828,0.010469999688211828,0.0012882159130604386,0.021084999370941652,0.021084999370941652,0.0021962581370133967,0.04241420016478513,0.04241420016478513,0.010624195660737417,1.2440000000000002,0.027559027559041313,2.0,0.0,0.9982000000000001,0.00044721359549995833,2.384,0.07771743691090185,8.0,0.0,0.0745,0.002428669903465683,0.25,0.0,independent_z_only,64,10,,32,64,32,64,0.125,0.125,8.0,8.0,300007,bbcode_n64_k10.npz,wilson_95
bb_n64_k10,BP-OSD,0.02,5,1000,5000,50,50,0.01,0.01,0.001870828693386971,0.007593772813946567,0.013158575092209418,0.013906849399427301,0.013906849399427301,0.0021013809330984066,0.010500000644242391,0.010500000644242391,0.0020736442013694458,0.027037000181735476,0.027037000181735476,0.00451433611447006,0.13393959836685093,0.13393959836685093,0.021200534746249187,2.4261999999999997,0.1474218437003147,6.819999999999982,0.4309872387902132,0.9852000000000001,0.002167948338867882,4.3316,0.16669373113587665,10.419999999999982,0.884307638777374,0.1353625,0.0052091790979961455,0.32562499999999944,0.027634613711792936,independent_z_only,64,10,,32,64,32,64,0.125,0.125,8.0,8.0,301007,bbcode_n64_k10.npz,wilson_95
bb_n64_k10,BP-LSD,0.02,5,1000,5000,50,50,0.01,0.01,0.001870828693386971,0.007593772813946567,0.013158575092209418,0.01662931078899419,0.01662931078899419,0.0016195765805836813,0.01080999991245335,0.01080999991245335,0.0010310184015786686,0.026802000538737027,0.026802000538737027,0.0026547426975585897,0.18206359746545772,0.18206359746545772,0.04260234967909561,2.0712,0.08041268556639555,5.219999999999982,0.815935046434476,0.9852000000000001,0.002167948338867882,4.3316,0.16669373113587665,10.419999999999982,0.884307638777374,0.1353625,0.0052091790979961455,0.32562499999999944,0.027634613711792936,independent_z_only,64,10,,32,64,32,64,0.125,0.125,8.0,8.0,301007,bbcode_n64_k10.npz,wilson_95
bb_n64_k10,BP-OSD,0.03,5,1000,5000,177,177,0.0354,0.0354,0.003781534080237806,0.030624246822118124,0.04088910182522896,0.029750521195455803,0.029750521195455803,0.012700463854124742,0.014540200027113315,0.014540200027113315,0.004502607838578818,0.11780119049944904,0.11780119049944904,0.04953061176476397,0.21750659999088384,0.21750659999088384,0.0660284651591022,4.2362,0.2743842196628662,27.6,5.366563145999495,0.9480000000000001,0.007905694150420957,6.176,0.13349157276772178,12.0,0.0,0.193,0.0041716116489913056,0.375,0.0,independent_z_only,64,10,,32,64,32,64,0.125,0.125,8.0,8.0,302007,bbcode_n64_k10.npz,wilson_95
