nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,3.0,29,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,0.0019569054209430284,0.10887205309669046,5.3106624021013095e-05,0.05360562674188975,0.016081688022566924,0.0016936121495916333,0.10875046409498342,0.0013964370009489357,0.2230591310071759,nan,nan,0.1281238000083249
4,16,3.0,29,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.0025860210288037554,0.10746849370729147,9.141934456049327e-05,0.05360562674188975,0.0214422506967559,0.0022392609900430756,0.1063667163306637,0.0013964370009489357,0.2230591310071759,nan,nan,0.0902927810093388
4,16,3.0,29,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.003196010537332597,0.12860857460182124,0.0001369649336238454,0.05360562674188975,0.026802813370944874,0.0027692251709688135,0.12733876024744142,0.0013964370009489357,0.2230591310071759,nan,nan,0.12036086100852117
4,16,3.0,29,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.0037830807228127123,0.15495207850638587,0.00018720777365048997,0.05360562674188975,0.03216337604513385,0.003280239166666424,0.1543239184814522,0.0013964370009489357,0.2230591310071759,nan,nan,0.10227553002187051
4,16,3.0,29,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.004344154357428041,0.16103178123259773,0.00023936199140659384,0.05360562674188975,0.03752393871932282,0.003769499766597482,0.16105147965951191,0.0013964370009489357,0.2230591310071759,nan,nan,0.04991475600400008
4,16,3.0,29,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.004877030774037249,0.1456167984141007,0.0002905977641439375,0.05360562674188975,0.0428845013935118,0.004234764651129584,0.14585674043802704,0.0013964370009489357,0.2230591310071759,nan,nan,0.10901527499663644
4,16,3.0,29,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.005380518159057382,0.12882637347022752,0.00033826791427288993,0.05360562674188975,0.04824506406770077,0.0046744347168232074,0.1287359820709189,0.0013964370009489357,0.2230591310071759,nan,nan,0.10866258101304993
4,16,3.0,29,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.005854516911977456,0.1304165745345885,0.0003801288282033157,0.05360562674188975,0.05360562674188975,0.005087608519725116,0.12989079591694377,0.0013964370009489357,0.2230591310071759,nan,nan,0.041742650006199256
4,16,4.0,49,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,0.00028791706589830147,0.05857726352919365,4.9310190717696575e-06,0.05084322977157768,0.005084322977157768,0.00037847499498179645,0.05862584708990807,0.0013964370009489357,0.2230591310071759,nan,nan,0.023427728010574356
4,16,4.0,49,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,0.0005719554528967321,0.05117513276425761,1.9186575997440332e-05,0.05084322977157768,0.010168645954315537,0.0007537719916973453,0.05111403551151613,0.0013964370009489357,0.2230591310071759,nan,nan,0.012325424002483487
4,16,4.0,49,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,0.0008484440373541616,0.07992635489800691,4.122364732767692e-05,0.05084322977157768,0.015252968931473303,0.001122807026083289,0.07970571907479396,0.0013964370009489357,0.2230591310071759,nan,nan,0.10765076900133863
4,16,4.0,49,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.001114120316002424,0.0681478953463696,6.869164623755347e-05,0.05084322977157768,0.020337291908631074,0.0014826823951255628,0.06809119701518794,0.0013964370009489357,0.2230591310071759,nan,nan,0.28708064000238664
4,16,4.0,49,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.0013663177275281449,0.049694155354055275,9.872890773472985e-05,0.05084322977157768,0.02542161488578884,0.0018307740142775749,0.050137766610329905,0.0013964370009489357,0.2230591310071759,nan,nan,0.29158805101178586
4,16,4.0,49,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.0016031301647045461,0.0467570536363579,0.0001283131162353534,0.05084322977157768,0.030505937862946607,0.0021648085698918744,0.04662416612030107,0.0013964370009489357,0.2230591310071759,nan,nan,0.413792431994807
4,16,4.0,49,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.0018235419671430275,0.06225853739699567,0.0001546147000453146,0.05084322977157768,0.035590260840104374,0.0024829228803437066,0.06163255624779981,0.0013964370009489357,0.2230591310071759,nan,nan,0.33747235700138845
4,16,4.0,49,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.0020275093679427173,0.06477016681642153,0.00017530622938132022,0.05084322977157768,0.04067458381726215,0.002783697427567824,0.06483775590354296,0.0013964370009489357,0.2230591310071759,nan,nan,0.22741413698531687
