nx,N,K0,M,t,seed,sigma_base,sigma_eff,shift_x,shift_y,noise_eps,k0_1_y,k0_1_x,k0_2_y,k0_2_x,err_rho,err_momentum,err_omega,err_rho_vs_full,err_momentum_vs_full,err_omega_vs_full,err_rho_lp_vs_full,err_momentum_lp_vs_full,err_omega_lp_vs_full,E_LP_base,E_LP_shadow,err_E_LP,q_base,q_shift,measurement_proxy,postprocess_task_proxy,postprocess_full_proxy,rt_baseline_full_s,rt_baseline_lp_s,rt_shadow_s,shadow_backend,rt_shadow_evolve_s,rt_shadow_post_s,rt_shadow_aer_transpile_s,rt_shadow_aer_run_s,rt_full_aer_transpile_s,rt_full_aer_run_s,rt_metrics_s,rt_total_s
5,32,2.5,21,1.0,0,2.0,2.0,0,0,0.0,0,1,0,0,3.178407530059207e-16,6.94180221040914e-16,6.726407460116726e-16,0.17557881052890312,0.7008440619492448,0.645356585619469,0.17557881052890317,0.7008440619492448,0.6453565856194691,0.97608262447836,0.9760826244783603,2.27485460099955e-16,11,6,21.0,21.0,1024.0,0.00010319300054106861,7.857099990360439e-05,0.0657188320037676,qiskit_aer,0.0006050540032447316,0.00020327400125097483,0.0649105039992719,0.0006050540032447316,nan,nan,0.0007053880035527982,0.06714742699841736
5,32,2.5,21,0.0,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.615049891350698e-16,3.902120741872763e-16,3.2920853366507122e-15,0.17322084691333842,0.20911423001758503,1.6831730073247022,0.17322084691333842,0.20911423001758503,1.683173007324702,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,9.787199815036729e-05,8.085199806373566e-05,0.10271665999607649,qiskit_aer,0.0006073869953979738,0.00018494400137569755,0.10192432899930282,0.0006073869953979738,nan,nan,0.0005527530011022463,0.10405615100171417
5,32,2.5,21,0.1,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,2.0885896934024012e-16,3.9464418658945673e-16,5.58799797003493e-16,0.14682646336016136,0.4670322632114921,1.6100911431639346,0.14682646336016136,0.4670322632114921,1.6100911431639346,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,9.928199870046228e-05,7.9112003732007e-05,0.07055253599537537,qiskit_aer,0.0007631720000063069,0.00022376499691745266,0.0695655989984516,0.0007631720000063069,nan,nan,0.0005462720000650734,0.07179809499939438
5,32,2.5,21,0.2,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.7748591470053403e-16,3.828795203211701e-16,1.157065045428563e-15,0.1299274335988636,0.5088047618853837,1.6496162064392803,0.1299274335988636,0.5088047618853837,1.6496162064392803,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.00010212200140813366,7.746200572000816e-05,0.06866788300249027,qiskit_aer,0.0008297430031234398,0.00021297499915817752,0.06762516500020865,0.0008297430031234398,nan,nan,0.0005699430039385334,0.07004529400001047
5,32,2.5,21,0.3,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.835374085287348e-16,4.607427693054501e-16,8.048838367102235e-16,0.1289201179597938,0.48823243003007255,1.148225690924801,0.1289201179597938,0.48823243003007255,1.1482256909248005,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.0001013630026136525,9.592199785402045e-05,0.06359458199585788,qiskit_aer,0.0006671489973086864,0.00022301499848254025,0.06270441800006665,0.0006671489973086864,nan,nan,0.000548161995538976,0.06494207299692789
5,32,2.5,21,0.4,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.6636863515596377e-16,4.777008385543683e-16,4.93020228849805e-16,0.11238468327553491,0.5350222790908262,0.5160729024228217,0.11238468327553496,0.5350222790908263,0.5160729024228219,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.0001004229998216033,7.882099453127012e-05,0.06460136799432803,qiskit_aer,0.0006260149966692552,0.00019529400015017018,0.0637800589975086,0.0006260149966692552,nan,nan,0.0006544990028487518,0.06595896399812773
5,32,2.5,21,0.5,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.6654739010589983e-16,4.662391904515656e-16,3.428881539026044e-16,0.12049554111862244,0.5541421974776344,0.35002616962679867,0.12049554111862247,0.5541421974776344,0.3500261696267986,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.00015253400488290936,8.470199827570468e-05,0.06791614399844548,qiskit_aer,0.0006021139997756109,0.0001778839941835031,0.06713614600448636,0.0006021139997756109,nan,nan,0.0006041430024197325,0.0693840280000586
5,32,2.5,21,0.6,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.7523733540130077e-16,4.95178173715806e-16,4.263420801176953e-16,0.15520291377974185,0.5302502086447475,0.3948791133423893,0.15520291377974185,0.5302502086447475,0.3948791133423892,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,9.861199941951782e-05,7.81720009399578e-05,0.0681789989976096,qiskit_aer,0.0006291039971983992,0.00018786400323733687,0.06736203099717386,0.0006291039971983992,nan,nan,0.0006817449975642376,0.06953736000286881
5,32,2.5,21,0.7,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.9662646732134102e-16,5.505349433272987e-16,4.060935580753638e-16,0.1827835076589535,0.5061696777709104,0.4597799393777524,0.18278350765895351,0.5061696777709104,0.4597799393777524,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.00012138300371589139,8.107200119411573e-05,0.06802102400251897,qiskit_aer,0.0006191170032252558,0.000191833998542279,0.06721007300075144,0.0006191170032252558,nan,nan,0.0005603230019914918,0.06938380499923369
5,32,2.5,21,0.8,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.6229931135348972e-16,5.694251084944124e-16,4.439126513468794e-16,0.19066405966218342,0.5428808866706122,0.6149555098765302,0.19066405966218342,0.5428808866706123,0.61495550987653,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.00012076299753971398,9.283200051868334e-05,0.07147002099372912,qiskit_aer,0.0006767320010112599,0.0001892039945232682,0.0706040849981946,0.0006767320010112599,nan,nan,0.0007200190011644736,0.07318062300328165
