trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p6_cross_mode_repetition_trace_layered_memory_x_high_0|89|47,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,47,89,0.080000,0.330000,0.576431,0.496431,0.250000,0.246431,0.600000,True,True,False,0.299077,0.602268,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|90|48,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,48,90,0.100000,0.766667,1.081725,0.981725,0.666667,0.315058,1.600000,False,True,False,1.692313,1.149833,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|91|49,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,49,91,0.120000,0.786667,1.102378,0.982378,0.666667,0.315711,1.600000,False,True,False,1.693945,1.150420,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|92|50,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,50,92,0.140000,0.806667,1.122084,0.982084,0.666667,0.315417,1.600000,False,True,False,1.693209,1.150155,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|93|51,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,51,93,0.160000,0.160000,0.178937,0.018937,0.000000,0.018937,0.000000,False,False,False,0.000000,0.166203,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|94|52,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,52,94,0.180000,1.680000,2.141671,1.961671,1.500000,0.461671,3.600000,True,True,False,4.502179,2.253384,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|95|53,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,53,95,0.200000,0.866667,1.198304,0.998304,0.666667,0.331637,1.600000,False,True,False,1.733759,1.164753,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|96|54,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,54,96,0.220000,1.720000,2.183147,1.963147,1.500000,0.463147,3.600000,True,True,False,4.505868,2.254712,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|97|55,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,55,97,0.240000,0.490000,0.732347,0.492347,0.250000,0.242347,0.600000,False,True,False,0.288867,0.598592,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|98|56,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,56,98,0.260000,0.926667,1.249256,0.989256,0.666667,0.322589,1.600000,True,True,False,1.711140,1.156610,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|99|57,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,57,99,0.280000,0.280000,0.457194,0.177194,0.000000,0.177194,0.000000,False,False,False,0.000000,0.284895,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|100|58,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,58,100,0.300000,1.966667,2.816334,2.516334,1.666667,0.849667,4.000000,False,True,True,5.960835,2.796901,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|101|59,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,59,101,0.320000,0.320000,0.340969,0.020969,0.000000,0.020969,0.000000,False,False,False,0.000000,0.167727,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|102|60,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,60,102,0.000000,0.000000,0.097409,0.097409,0.000000,0.097409,0.000000,False,False,False,0.000000,0.225057,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|103|61,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,61,103,0.020000,0.020000,0.194890,0.174890,0.000000,0.174890,0.000000,False,False,False,0.000000,0.283167,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|104|62,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,62,104,0.040000,0.040000,0.064969,0.024969,0.000000,0.024969,0.000000,False,False,False,0.000000,0.170727,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|105|63,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,63,105,0.060000,0.060000,0.089896,0.029896,0.000000,0.029896,0.000000,False,False,False,0.000000,0.174422,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|106|64,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,64,106,0.080000,1.163333,1.559991,1.479991,1.083333,0.396658,2.600000,True,True,False,3.117978,1.709072,False
