analysis_scope,unit_id,intervention,num_pairs,rescued_failure_count,induced_failure_count,discordant_pair_count,paired_delta_lfr,net_rescue_rate,effect_direction,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05,interpretation,source_artifact
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d5_4+4j_Z_r130,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,678,403,1081,-0.027500,0.027500,rescues_more_than_induces,5.35046e-17,2.79294e-14,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d5_4+4j_Z_r150,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,694,473,1167,-0.022100,0.022100,rescues_more_than_induces,1.05483e-10,4.43029e-08,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r010,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,43,29,72,-0.001400,0.001400,rescues_more_than_induces,0.124918,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r030,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,151,65,216,-0.008600,0.008600,rescues_more_than_induces,4.61969e-09,1.75086e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r050,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,276,149,425,-0.012700,0.012700,rescues_more_than_induces,7.41763e-10,2.9893e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r070,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,338,196,534,-0.014200,0.014200,rescues_more_than_induces,8.40599e-10,3.3624e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r090,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,484,294,778,-0.019000,0.019000,rescues_more_than_induces,9.80805e-12,4.40381e-09,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r110,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,597,332,929,-0.026500,0.026500,rescues_more_than_induces,2.76205e-18,1.47217e-15,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r130,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,694,420,1114,-0.027400,0.027400,rescues_more_than_induces,2.02494e-16,1.04689e-13,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_X_r150,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,753,485,1238,-0.026800,0.026800,rescues_more_than_induces,2.58012e-14,1.27458e-11,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
