experiment_name,code_family,control_mode,basis,cycles,workload_id,num_pairs,paired_delta_lfr,paired_bootstrap_std,unpaired_bootstrap_std,std_ratio_unpaired_over_paired,paired_ci_lower,paired_ci_upper,unpaired_ci_lower,unpaired_ci_upper,num_bootstrap,source_data_dir
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,150,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r150,10000,-0.019400,0.003560,0.005588,1.569818,-0.025900,-0.012600,-0.027900,-0.005000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,10,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r010,10000,-0.002200,0.001027,0.001952,1.901045,-0.004100,-0.000300,-0.005400,0.001500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,30,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r030,10000,-0.010000,0.001780,0.003366,1.890581,-0.013100,-0.006300,-0.016900,-0.004000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r030
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,50,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r050,10000,-0.014000,0.001984,0.004399,2.217170,-0.017500,-0.009000,-0.023200,-0.004900,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r050
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,70,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r070,10000,-0.013500,0.002635,0.005293,2.008954,-0.018900,-0.008500,-0.024900,-0.005500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,90,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r090,10000,-0.025000,0.003172,0.005428,1.711268,-0.030600,-0.019100,-0.033100,-0.012900,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,110,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r110,10000,-0.020300,0.003077,0.006219,2.021107,-0.025400,-0.013600,-0.031300,-0.009800,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,130,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r130,10000,-0.026400,0.003285,0.006172,1.878791,-0.034200,-0.020100,-0.039700,-0.016500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r130
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,150,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_Z_r150,10000,-0.025000,0.004080,0.005307,1.300720,-0.033500,-0.017500,-0.033300,-0.011500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/Z/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,10,surface_code_distance_3_5_7_traditional_calibration_d5_0+4j_X_r010,10000,-0.001700,0.000973,0.002184,2.244866,-0.003100,0.000400,-0.005600,0.002900,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+4j/X/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,30,surface_code_distance_3_5_7_traditional_calibration_d5_0+4j_X_r030,10000,-0.006400,0.001862,0.003728,2.002111,-0.009500,-0.001900,-0.014100,0.000500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+4j/X/r030
