analysis_scope,unit_id,intervention,num_pairs,rescued_failure_count,induced_failure_count,discordant_pair_count,paired_delta_lfr,net_rescue_rate,effect_direction,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05,interpretation,source_artifact
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r05|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,569,536,1105,-0.003300,0.003300,rescues_more_than_induces,0.335725,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r09|dem_correlations,dem_correlations,10000,667,666,1333,-0.000100,0.000100,rescues_more_than_induces,1,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r09|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,770,657,1427,-0.011300,0.011300,rescues_more_than_induces,0.0030148,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r09|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,862,809,1671,-0.005300,0.005300,rescues_more_than_induces,0.20333,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r13|dem_correlations,dem_correlations,10000,960,820,1780,-0.014000,0.014000,rescues_more_than_induces,0.000980234,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r13|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1037,875,1912,-0.016200,0.016200,rescues_more_than_induces,0.000229598,0.678003,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r13|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1128,1041,2169,-0.008700,0.008700,rescues_more_than_induces,0.0647829,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r17|dem_correlations,dem_correlations,10000,1159,1135,2294,-0.002400,0.002400,rescues_more_than_induces,0.631088,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r17|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1278,1161,2439,-0.011700,0.011700,rescues_more_than_induces,0.018814,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r17|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1427,1395,2822,-0.003200,0.003200,rescues_more_than_induces,0.559526,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r21|dem_correlations,dem_correlations,10000,1393,1201,2594,-0.019200,0.019200,rescues_more_than_induces,0.000175622,0.53354,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r21|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1448,1265,2713,-0.018300,0.018300,rescues_more_than_induces,0.000473361,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r21|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1617,1459,3076,-0.015800,0.015800,rescues_more_than_induces,0.00463562,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r25|dem_correlations,dem_correlations,10000,1480,1424,2904,-0.005600,0.005600,rescues_more_than_induces,0.307434,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r25|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1548,1459,3007,-0.008900,0.008900,rescues_more_than_induces,0.108526,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q6_7_X_r25|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1665,1680,3345,0.001500,-0.001500,induces_more_than_rescues,0.808735,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r05|dem_correlations,dem_correlations,10000,768,605,1373,-0.016300,0.016300,rescues_more_than_induces,1.20419e-05,0.0458315,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r05|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,923,665,1588,-0.025800,0.025800,rescues_more_than_induces,1.0258e-10,5.81629e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r05|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,951,716,1667,-0.023500,0.023500,rescues_more_than_induces,9.44405e-09,4.89013e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r09|dem_correlations,dem_correlations,10000,1058,895,1953,-0.016300,0.016300,rescues_more_than_induces,0.000244733,0.715844,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r09|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1183,917,2100,-0.026600,0.026600,rescues_more_than_induces,7.02769e-09,3.67056e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r09|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1205,951,2156,-0.025400,0.025400,rescues_more_than_induces,4.90244e-08,0.000241298,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r13|dem_correlations,dem_correlations,10000,1334,1146,2480,-0.018800,0.018800,rescues_more_than_induces,0.000172164,0.524133,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r13|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1488,1232,2720,-0.025600,0.025600,rescues_more_than_induces,9.93892e-07,0.00438505,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r13|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1527,1278,2805,-0.024900,0.024900,rescues_more_than_induces,2.79277e-06,0.0116347,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r17|dem_correlations,dem_correlations,10000,1592,1411,3003,-0.018100,0.018100,rescues_more_than_induces,0.0010177,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r17|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1679,1447,3126,-0.023200,0.023200,rescues_more_than_induces,3.57489e-05,0.125514,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r17|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1729,1528,3257,-0.020100,0.020100,rescues_more_than_induces,0.000455797,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r21|dem_correlations,dem_correlations,10000,1813,1518,3331,-0.029500,0.029500,rescues_more_than_induces,3.44712e-07,0.00158843,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r21|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1925,1612,3537,-0.031300,0.031300,rescues_more_than_induces,1.52601e-07,0.000725313,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
