run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,20,62,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.282169,0.062169,False,False,False,0.000000,0.000000,0.198627,False,36,4,"[6,10,29,33]",False,False,False,False,,none,,none,no_failure,491b0b1306a6c1696667c7bf7c777957bef0054eb386b50e193da02b0375669a,9d6f4286c028727ae69beaa38099deb91342e786ab664397d02bbc3f2bd8a27c
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,21,63,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.305865,0.065865,False,False,False,0.000000,0.000000,0.201399,False,36,4,"[12,13,14,18]",False,False,False,False,,none,,none,no_failure,000d7a1fea4842cd7fa8b906bb868851fdf6cdaa0183c155fbd47544f90d914d,f74279b91765c0340826d92e6cbb006ce4864d7a2cac1872f77021db66aee028
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,22,64,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.293602,0.033602,False,False,False,0.000000,0.000000,0.177202,False,36,2,"[1,5]",False,False,False,False,,none,,none,no_failure,5c5d35a8f9d485e70a6921f372ffe548190948a5d4b0473b9bfdc990430955f2,0d31c7912ed4229be7a2965bb19c051eb58bebf99eeb865ef66fc2884db16ab0
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,23,65,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.316420,0.036420,False,False,False,0.000000,0.000000,0.179315,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,b5aba7977e6654b7bb6d8b66fedbd6469f680fe9730d4350fcdc3bb02c8853d9,664db44462a42b526545fcd5c0d91765602cbe8070e2ac9f153f3af0b78a7ecd
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,24,66,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.360329,0.060329,False,False,False,0.000000,0.000000,0.197247,False,36,4,"[8,12,23,27]",False,False,False,False,,none,,none,no_failure,6acae58c700268b0a782d28717d4a8f2d39023476c780b5e9239b5d93afdd240,d604f10c9d857d9e3538b7d6afc097dd6c0fd95b7ff2aa6b52174a26edfd2660
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,25,67,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.350016,0.030016,False,False,False,0.000000,0.000000,0.174512,False,36,1,[35],True,True,False,False,,none,,none,no_failure,c03a88e9d3567b828ac7242cd7b0e446b3d5b90d95be05753dfc134c7ac18b21,5a0dc5d76a190fa0e634b373bb506a0eff5693e2973b31b25e3b22588816b285
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,26,68,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.039225,0.039225,False,False,False,0.000000,0.000000,0.181418,False,36,2,"[28,34]",False,False,False,False,,none,,none,no_failure,af3a6edbdba1a12a631f0e2d422839e58da07236b445f0a1a0082b934bdf012c,102e593828caca172d815b3f098e040a0ee9ac81e3826faf6610030a19a16a07
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,27,69,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.064607,0.044607,False,False,False,0.000000,0.000000,0.185456,False,36,3,"[10,11,32]",False,False,False,False,,none,,none,no_failure,1e50ca4af6eecf848573aa0a1f89691c1c4c84d44a0cefcdcdf9ab55c8e71ace,b7ef29b7a291677de817b344ba0fa7f4c12cbe218a7f69b106adf7d19352343a
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,28,70,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.077114,0.037114,False,False,False,0.000000,0.000000,0.179836,False,36,3,"[3,21,22]",True,True,False,False,,none,,none,no_failure,faca2d80754bdcf384dde125373d5ea6d51461c455cc3b6fcfc1cb786eba3255,df8839117764c8339bad27cb136f37adfeacec7b2d92ea048d2e2be1a31e334f
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,29,71,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.086927,0.026927,False,False,False,0.000000,0.000000,0.172195,False,36,1,[19],True,True,False,False,,none,,none,no_failure,922cdb9d0e5cc02a9b15cb2e82a4821b0ed59a57040f514d49d0d0f50927aa3a,2357865d90863012d00b589e654e0eb040dd240c7c5b92c981537057617f8196
