train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
reinforcement_learning,traditional_calibration,burden_threshold,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.132425,0.132435,0.132425,0.996507,20
reinforcement_learning,traditional_calibration,always_correlated_matching,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.132365,0.132365,0.132143,0.999999,20
reinforcement_learning,traditional_calibration,always_tesseract,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.132143,0.132365,0.132143,0.999999,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.132143,0.132365,0.132143,0.999999,20
reinforcement_learning,traditional_calibration,burden_threshold,7,2.000000,9.308000,0.998000,0.999999,0.010372,0.132143,0.132365,0.132143,0.999999,20
reinforcement_learning,traditional_calibration,always_correlated_matching,8,2.000000,9.308000,0.998000,1.000000,0.094993,0.132365,0.132365,0.130330,1.000000,20
reinforcement_learning,traditional_calibration,always_tesseract,8,2.000000,9.308000,0.998000,1.000000,0.094993,0.130330,0.132365,0.130330,1.000000,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,8,2.000000,9.308000,0.998000,1.000000,0.094993,0.130330,0.132365,0.130330,1.000000,20
reinforcement_learning,traditional_calibration,burden_threshold,8,2.000000,9.308000,0.998000,1.000000,0.094993,0.130330,0.132365,0.130330,1.000000,20
reinforcement_learning,traditional_calibration,always_correlated_matching,4,3.000000,13.962000,1.497000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,always_tesseract,4,3.000000,13.962000,1.497000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,4,3.000000,13.962000,1.497000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,burden_threshold,4,3.000000,13.962000,1.497000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,always_correlated_matching,5,3.000000,13.962000,1.497000,0.755967,0.000000,0.137246,0.137246,0.137246,0.755967,20
reinforcement_learning,traditional_calibration,always_tesseract,5,3.000000,13.962000,1.497000,0.755967,0.000000,0.137246,0.137246,0.137246,0.755967,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,5,3.000000,13.962000,1.497000,0.755967,0.000000,0.137246,0.137246,0.137246,0.755967,20
reinforcement_learning,traditional_calibration,burden_threshold,5,3.000000,13.962000,1.497000,0.755967,0.000000,0.137246,0.137246,0.137246,0.755967,20
reinforcement_learning,traditional_calibration,always_correlated_matching,6,3.000000,13.962000,1.497000,0.996506,0.000000,0.132435,0.132435,0.132435,0.996506,20
reinforcement_learning,traditional_calibration,always_tesseract,6,3.000000,13.962000,1.497000,0.996506,0.000000,0.132435,0.132435,0.132435,0.996506,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,6,3.000000,13.962000,1.497000,0.996506,0.000000,0.132435,0.132435,0.132435,0.996506,20
reinforcement_learning,traditional_calibration,burden_threshold,6,3.000000,13.962000,1.497000,0.996506,0.000000,0.132435,0.132435,0.132435,0.996506,20
