run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,30,72,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.151885,0.071885,False,False,False,0.000000,0.000000,0.205913,False,36,5,"[3,6,10,17,18]",True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,31,73,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.100000,0.100000,0.144677,0.044677,False,False,False,0.000000,0.000000,0.185508,False,36,2,"[8,9]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,32,74,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.120000,0.120000,0.160274,0.040274,False,False,False,0.000000,0.000000,0.182206,False,36,1,[4],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,33,75,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.168695,0.028695,False,False,False,0.000000,0.000000,0.173521,False,36,2,"[24,27]",True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,34,76,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.180923,0.020923,False,False,False,0.000000,0.000000,0.167692,False,36,1,[8],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,35,77,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.234476,0.054476,False,False,False,0.000000,0.000000,0.192857,False,36,3,"[8,20,21]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,36,78,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.213775,0.013775,False,False,False,0.000000,0.000000,0.162331,False,36,0,[],False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,37,79,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.269000,0.049000,False,False,False,0.000000,0.000000,0.188750,False,36,2,"[14,18]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,38,80,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.283517,0.043517,False,False,False,0.000000,0.000000,0.184638,False,36,1,[7],True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,39,81,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.322315,0.062315,False,False,False,0.000000,0.000000,0.198736,False,36,4,"[2,6,31,35]",False,False,False,False,,none,,none,no_failure
