experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,34,color_code_distance_5_traditional_calibration_X_r034,unchanged_failure,2062,89.322502,29.515034,29.827837,29.979631,1.000000,0.025449,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,34,color_code_distance_5_traditional_calibration_X_r034,unchanged_success,5957,82.601981,27.333221,27.661742,27.607017,1.000000,0.026657,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,38,color_code_distance_5_traditional_calibration_X_r038,rescued,1239,101.340597,33.763519,33.799839,33.777240,1.000000,0.022348,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,38,color_code_distance_5_traditional_calibration_X_r038,induced,1011,102.126607,33.624135,34.246291,34.256182,1.000000,0.023145,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,38,color_code_distance_5_traditional_calibration_X_r038,unchanged_failure,2139,99.359046,33.071996,33.577840,32.709210,1.000000,0.021596,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,38,color_code_distance_5_traditional_calibration_X_r038,unchanged_success,5611,93.562823,31.129567,31.447336,30.985921,1.000000,0.022987,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,42,color_code_distance_5_traditional_calibration_X_r042,rescued,1314,110.315068,36.449011,37.411720,36.454338,1.000000,0.019820,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,42,color_code_distance_5_traditional_calibration_X_r042,induced,1065,111.699531,36.833803,37.341784,37.523944,1.000000,0.021616,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,42,color_code_distance_5_traditional_calibration_X_r042,unchanged_failure,2162,109.689177,36.296022,36.733117,36.660037,1.000000,0.020672,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,42,color_code_distance_5_traditional_calibration_X_r042,unchanged_success,5459,104.234658,34.813336,34.691519,34.729804,1.000000,0.020672,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,46,color_code_distance_5_traditional_calibration_X_r046,rescued,1422,121.794655,40.444444,40.398734,40.951477,1.000000,0.017450,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r046
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,46,color_code_distance_5_traditional_calibration_X_r046,induced,1159,123.754961,41.236411,40.752373,41.766178,1.000000,0.017435,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r046
