source_data_dir,baseline_prior,intervened_prior,workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r13,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2580,2527,741,688,1839,6732,53,-0.005300,-0.012600,0.002600,0.005300,-0.002600,0.011900,0.287209,0.092722,100,2826
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r13,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2580,2410,906,736,1674,6684,170,-0.017000,-0.024200,-0.010500,0.017000,0.009800,0.024200,0.351163,0.099191,100,2827
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r13,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2580,2459,890,769,1690,6651,121,-0.012100,-0.019900,-0.003800,0.012100,0.005700,0.020400,0.344961,0.103639,100,2828
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r17,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3146,3067,931,852,2215,6002,79,-0.007900,-0.014400,-0.000900,0.007900,0.000400,0.013900,0.295931,0.124307,100,2926
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r17,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3146,2913,1169,936,1977,5918,233,-0.023300,-0.034300,-0.015800,0.023300,0.014500,0.032000,0.371583,0.136563,100,2927
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r17,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3146,2967,1144,965,2002,5889,179,-0.017900,-0.027500,-0.009400,0.017900,0.009200,0.026800,0.363636,0.140794,100,2928
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r21,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3511,3474,1095,1058,2416,5431,37,-0.003700,-0.011900,0.004100,0.003700,-0.005400,0.010800,0.311877,0.163045,100,3026
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r21,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3511,3286,1336,1111,2175,5378,225,-0.022500,-0.032500,-0.013500,0.022500,0.012300,0.031600,0.380518,0.171213,100,3027
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r21,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3511,3364,1310,1163,2201,5326,147,-0.014700,-0.025000,-0.006500,0.014700,0.003900,0.024800,0.373113,0.179226,100,3028
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r25,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,3921,3736,1303,1118,2618,4961,185,-0.018500,-0.030400,-0.010000,0.018500,0.005600,0.026500,0.332313,0.183912,100,3126
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r25,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,3921,3590,1547,1216,2374,4863,331,-0.033100,-0.044400,-0.023800,0.033100,0.022800,0.042800,0.394542,0.200033,100,3127
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r25,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,3921,3610,1546,1235,2375,4844,311,-0.031100,-0.039900,-0.021600,0.031100,0.020700,0.040700,0.394287,0.203158,100,3128
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r05,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1876,1831,504,459,1372,7665,45,-0.004500,-0.009900,0.000500,0.004500,-0.000900,0.010100,0.268657,0.056499,100,3226
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r05,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1876,1778,570,472,1306,7652,98,-0.009800,-0.016500,-0.005400,0.009800,0.003700,0.016700,0.303838,0.058099,100,3227
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r05,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1876,1875,584,583,1292,7541,1,-0.000100,-0.005500,0.006400,0.000100,-0.004500,0.006200,0.311301,0.071763,100,3228
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r09,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2466,2384,697,615,1769,6919,82,-0.008200,-0.014600,-0.001100,0.008200,0.002200,0.014600,0.282644,0.081630,100,3326
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r09,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2466,2303,845,682,1621,6852,163,-0.016300,-0.022900,-0.007600,0.016300,0.007600,0.022400,0.342660,0.090523,100,3327
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r09,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2466,2440,807,781,1659,6753,26,-0.002600,-0.010400,0.003600,0.002600,-0.003700,0.010100,0.327251,0.103663,100,3328
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r13,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,3104,2971,969,836,2135,6060,133,-0.013300,-0.021100,-0.005600,0.013300,0.004300,0.021200,0.312178,0.121230,100,3426
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r13,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,3104,2889,1119,904,1985,5992,215,-0.021500,-0.030200,-0.011400,0.021500,0.013700,0.029600,0.360503,0.131090,100,3427
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r13,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,3104,3102,1093,1091,2011,5805,2,-0.000200,-0.010500,0.009700,0.000200,-0.009800,0.009400,0.352126,0.158208,100,3428
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r17,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3471,3420,1111,1060,2360,5469,51,-0.005100,-0.014800,0.003700,0.005100,-0.003900,0.012700,0.320081,0.162353,100,3526
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r17,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3471,3324,1264,1117,2207,5412,147,-0.014700,-0.024000,-0.007700,0.014700,0.004600,0.024800,0.364160,0.171083,100,3527
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r17,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3471,3512,1246,1287,2225,5242,-41,0.004100,-0.005700,0.011900,-0.004100,-0.013200,0.003700,0.358974,0.197121,100,3528
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r21,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3871,3715,1336,1180,2535,4949,156,-0.015600,-0.025300,-0.008300,0.015600,0.005800,0.024800,0.345130,0.192527,100,3626
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r21,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3871,3695,1475,1299,2396,4830,176,-0.017600,-0.029700,-0.009000,0.017600,0.006000,0.026700,0.381038,0.211943,100,3627
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r21,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3871,3790,1535,1454,2336,4675,81,-0.008100,-0.019400,0.002700,0.008100,-0.003700,0.016100,0.396538,0.237233,100,3628
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r25,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4171,4125,1450,1404,2721,4425,46,-0.004600,-0.017400,0.005400,0.004600,-0.005300,0.013800,0.347638,0.240865,100,3726
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r25,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4171,4006,1610,1445,2561,4384,165,-0.016500,-0.029700,-0.006300,0.016500,0.003200,0.026600,0.385999,0.247898,100,3727
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_5/X/r25,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4171,4127,1626,1582,2545,4247,44,-0.004400,-0.014800,0.005100,0.004400,-0.008200,0.017400,0.389835,0.271402,100,3728
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_7/X/r05,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_7_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1850,1802,543,495,1307,7655,48,-0.004800,-0.010500,0.002000,0.004800,-0.002200,0.010600,0.293514,0.060736,100,3826
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_7/X/r05,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_7_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1850,1721,570,441,1280,7709,129,-0.012900,-0.018400,-0.007500,0.012900,0.006600,0.019800,0.308108,0.054110,100,3827
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_7/X/r05,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_7_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1850,1718,590,458,1260,7692,132,-0.013200,-0.019400,-0.008700,0.013200,0.005100,0.019700,0.318919,0.056196,100,3828
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_7/X/r09,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_7_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2771,2670,824,723,1947,6506,101,-0.010100,-0.017700,-0.001600,0.010100,0.001300,0.017200,0.297366,0.100014,100,3926
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_7/X/r09,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_7_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2771,2563,883,675,1888,6554,208,-0.020800,-0.027800,-0.012900,0.020800,0.013100,0.029700,0.318658,0.093374,100,3927
