run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,21,63,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.305865,0.065865,False,False,False,0.000000,0.000000,0.201399,False,36,4,"[12,13,14,18]",False,False,False,False,,none,,none,no_failure,000d7a1fea4842cd7fa8b906bb868851fdf6cdaa0183c155fbd47544f90d914d,5a167f5212949cb588f9b2dfad67033f6a2ba9a3befbe811b64a4bed38682aa1
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,22,64,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.293602,0.033602,False,False,False,0.000000,0.000000,0.177202,False,36,2,"[1,5]",False,False,False,False,,none,,none,no_failure,5c5d35a8f9d485e70a6921f372ffe548190948a5d4b0473b9bfdc990430955f2,d25e7219e6ea4c57e4368838a73452d70b3188fbabae02f20cd504260854b6dc
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,23,65,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.316420,0.036420,False,False,False,0.000000,0.000000,0.179315,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,b5aba7977e6654b7bb6d8b66fedbd6469f680fe9730d4350fcdc3bb02c8853d9,7bc0173f21c816bbbc443e6e1fff478e1647532eb77fe79db4a715a1afd5a5a7
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,24,66,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.360329,0.060329,False,False,False,0.000000,0.000000,0.197247,False,36,4,"[8,12,23,27]",False,False,False,False,,none,,none,no_failure,6acae58c700268b0a782d28717d4a8f2d39023476c780b5e9239b5d93afdd240,7bb32a2ecbf0775e14ff9edd79095ee1f2810c3db3afc5032bae9a14d0501323
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,25,67,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.350016,0.030016,False,False,False,0.000000,0.000000,0.174512,False,36,1,[35],True,True,False,False,,none,,none,no_failure,c03a88e9d3567b828ac7242cd7b0e446b3d5b90d95be05753dfc134c7ac18b21,0b20fa5cf07d7b260eb560b264b701a71baebbfd2e0a8d8c2f29218352797b8e
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,26,68,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.039225,0.039225,False,False,False,0.000000,0.000000,0.181418,False,36,2,"[28,34]",False,False,False,False,,none,,none,no_failure,af3a6edbdba1a12a631f0e2d422839e58da07236b445f0a1a0082b934bdf012c,c88c6ec908805fc80ce3b0faaa079d5474e1a2e8ba208675e190b0048eb44acf
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,27,69,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.064607,0.044607,False,False,False,0.000000,0.000000,0.185456,False,36,3,"[10,11,32]",False,False,False,False,,none,,none,no_failure,1e50ca4af6eecf848573aa0a1f89691c1c4c84d44a0cefcdcdf9ab55c8e71ace,195b73afcc6ae39bc31e78f11bec1e58b1d4f9f64ab6868779199f9b1e567b72
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,28,70,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.077114,0.037114,False,False,False,0.000000,0.000000,0.179836,False,36,3,"[3,21,22]",True,True,False,False,,none,,none,no_failure,faca2d80754bdcf384dde125373d5ea6d51461c455cc3b6fcfc1cb786eba3255,6c844a9518340782903238546f8e180ddce8a600f8d9c95c5116299fd0f46e71
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,29,71,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.086927,0.026927,False,False,False,0.000000,0.000000,0.172195,False,36,1,[19],True,True,False,False,,none,,none,no_failure,922cdb9d0e5cc02a9b15cb2e82a4821b0ed59a57040f514d49d0d0f50927aa3a,414f876b525be02b51579856cfc965188d9a1f1555739354efcdbbf19ee63296
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,30,72,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.151885,0.071885,False,False,False,0.000000,0.000000,0.205913,False,36,5,"[3,6,10,17,18]",True,True,False,False,,none,,none,no_failure,f945b0bdc36bfc0c390106fd90fa84b2280e3f0e181e5dd64a9860fc61279448,d8228f8b1ab8d08ef31437c77220b9be0cf5676baf35ef1efa04fc5316de930a
