trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p5a_trace_mode_memory_x_low_0|120|78,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,78,120,0.020000,0.020000,0.052448,0.032448,0.000000,0.032448,0.000000,False,False,False,0.000000,0.176336,False
p5a_trace_mode_memory_x_low_0|121|79,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,79,121,0.040000,0.040000,0.057266,0.017266,0.000000,0.017266,0.000000,False,False,False,0.000000,0.164949,False
p5a_trace_mode_memory_x_low_0|122|80,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,80,122,0.060000,0.060000,0.117981,0.057981,0.000000,0.057981,0.000000,False,False,False,0.000000,0.195486,False
p5a_trace_mode_memory_x_low_0|123|81,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,81,123,0.080000,0.080000,0.164073,0.084073,0.000000,0.084073,0.000000,False,False,False,0.000000,0.215055,False
p5a_trace_mode_memory_x_low_0|124|82,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,82,124,0.100000,0.100000,0.163094,0.063094,0.000000,0.063094,0.000000,False,False,False,0.000000,0.199321,False
p5a_trace_mode_memory_x_low_0|125|83,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,83,125,0.120000,0.120000,0.153136,0.033136,0.000000,0.033136,0.000000,False,False,False,0.000000,0.176852,False
p5a_trace_mode_memory_x_low_0|126|84,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,84,126,0.140000,0.140000,0.248124,0.108124,0.000000,0.108124,0.000000,False,False,False,0.000000,0.233093,False
p5a_trace_mode_memory_x_low_0|127|85,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,85,127,0.160000,0.160000,0.221048,0.061048,0.000000,0.061048,0.000000,False,False,False,0.000000,0.197786,False
p5a_trace_mode_memory_x_low_0|128|86,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,86,128,0.180000,0.180000,0.274469,0.094469,0.000000,0.094469,0.000000,False,False,False,0.000000,0.222852,False
p5a_trace_mode_memory_x_low_0|129|87,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,87,129,0.200000,0.200000,0.263951,0.063951,0.000000,0.063951,0.000000,False,False,False,0.000000,0.199963,False
p5a_trace_mode_memory_x_low_0|130|88,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,88,130,0.220000,0.220000,0.232670,0.012670,0.000000,0.012670,0.000000,False,False,False,0.000000,0.161502,False
p5a_trace_mode_memory_x_low_0|131|89,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,89,131,0.240000,0.240000,0.316681,0.076681,0.000000,0.076681,0.000000,False,False,False,0.000000,0.209510,False
p5a_trace_mode_memory_x_low_0|132|90,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,90,132,0.260000,0.260000,0.288192,0.028192,0.000000,0.028192,0.000000,False,False,False,0.000000,0.173144,False
p5a_trace_mode_memory_x_low_0|133|91,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,91,133,0.280000,0.280000,0.314781,0.034781,0.000000,0.034781,0.000000,False,False,False,0.000000,0.178086,False
p5a_trace_mode_memory_x_low_0|134|92,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,92,134,0.300000,0.300000,0.321757,0.021757,0.000000,0.021757,0.000000,False,False,False,0.000000,0.168318,False
p5a_trace_mode_memory_x_low_0|135|93,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,93,135,0.320000,0.320000,0.363147,0.043147,0.000000,0.043147,0.000000,False,False,False,0.000000,0.184360,False
p5a_trace_mode_memory_x_low_0|136|94,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,94,136,0.000000,0.000000,0.076925,0.076925,0.000000,0.076925,0.000000,False,False,False,0.000000,0.209694,False
p5a_trace_mode_memory_x_low_0|137|95,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,95,137,0.020000,0.020000,0.032718,0.012718,0.000000,0.012718,0.000000,False,False,False,0.000000,0.161539,False
p5a_trace_mode_memory_x_low_0|138|96,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,96,138,0.040000,0.040000,0.075116,0.035116,0.000000,0.035116,0.000000,False,False,False,0.000000,0.178337,False
p5a_trace_mode_memory_x_low_0|139|97,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,97,139,0.060000,0.060000,0.104125,0.044125,0.000000,0.044125,0.000000,False,False,False,0.000000,0.185094,False
p5a_trace_mode_memory_x_low_0|140|98,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,98,140,0.080000,0.080000,0.123611,0.043611,0.000000,0.043611,0.000000,False,False,False,0.000000,0.184708,False
p5a_trace_mode_memory_x_low_0|141|99,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,99,141,0.100000,0.100000,0.154366,0.054366,0.000000,0.054366,0.000000,False,False,False,0.000000,0.192774,False
p5a_trace_mode_memory_x_low_1|10042|0,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,0,10042,0.240000,0.240000,0.287168,0.047168,0.000000,0.047168,0.000000,False,False,False,0.000000,0.187376,False
p5a_trace_mode_memory_x_low_1|10043|1,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,1,10043,0.260000,0.260000,0.309483,0.049483,0.000000,0.049483,0.000000,False,False,False,0.000000,0.189112,False
p5a_trace_mode_memory_x_low_1|10044|2,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,2,10044,0.280000,0.280000,0.315753,0.035753,0.000000,0.035753,0.000000,False,False,False,0.000000,0.178815,False
p5a_trace_mode_memory_x_low_1|10045|3,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,3,10045,0.300000,0.300000,0.381419,0.081419,0.000000,0.081419,0.000000,False,False,False,0.000000,0.213064,False
p5a_trace_mode_memory_x_low_1|10046|4,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,4,10046,0.320000,0.320000,0.345436,0.025436,0.000000,0.025436,0.000000,False,False,False,0.000000,0.171077,False
p5a_trace_mode_memory_x_low_1|10047|5,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,5,10047,0.000000,0.000000,0.050258,0.050258,0.000000,0.050258,0.000000,False,False,False,0.000000,0.189694,False
p5a_trace_mode_memory_x_low_1|10048|6,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,6,10048,0.020000,0.020000,0.037537,0.017537,0.000000,0.017537,0.000000,False,False,False,0.000000,0.165153,False
p5a_trace_mode_memory_x_low_1|10049|7,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,7,10049,0.040000,0.040000,0.096501,0.056501,0.000000,0.056501,0.000000,False,False,False,0.000000,0.194375,False
p5a_trace_mode_memory_x_low_1|10050|8,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,8,10050,0.060000,0.060000,0.071840,0.011840,0.000000,0.011840,0.000000,False,False,False,0.000000,0.160880,False
p5a_trace_mode_memory_x_low_1|10051|9,p5a_export_validation,p5a_trace_mode_memory_x_low_1,memory_x,low,9,10051,0.080000,0.080000,0.146239,0.066239,0.000000,0.066239,0.000000,False,False,False,0.000000,0.201679,False
