experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,20,surface_code_reinforcement_learning_Z_r020,unchanged_failure,286,31.101399,10.010490,10.569930,10.520979,0.828671,0.068073,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,20,surface_code_reinforcement_learning_Z_r020,unchanged_success,9506,26.931938,8.662213,9.175573,9.094151,0.640858,0.076855,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,30,surface_code_reinforcement_learning_Z_r030,rescued,218,47.770642,15.733945,16.266055,15.770642,0.995413,0.038538,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,30,surface_code_reinforcement_learning_Z_r030,induced,104,48.269231,15.567308,16.000000,16.701923,1.000000,0.051242,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,30,surface_code_reinforcement_learning_Z_r030,unchanged_failure,433,45.958430,15.136259,15.309469,15.512702,0.983834,0.049137,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,30,surface_code_reinforcement_learning_Z_r030,unchanged_success,9245,41.122336,13.440779,13.731206,13.950352,0.969497,0.050865,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,40,surface_code_reinforcement_learning_Z_r040,rescued,292,60.791096,19.441781,20.924658,20.424658,1.000000,0.038238,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,40,surface_code_reinforcement_learning_Z_r040,induced,154,61.772727,20.253247,21.623377,19.896104,1.000000,0.031487,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,40,surface_code_reinforcement_learning_Z_r040,unchanged_failure,545,59.937615,19.541284,20.188991,20.207339,0.998165,0.036326,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,40,surface_code_reinforcement_learning_Z_r040,unchanged_success,9009,54.599956,17.886558,18.244311,18.469086,0.998668,0.037574,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
