experiment_name,control_mode,basis,cycles,full_rescued,full_induced,full_paired_delta_lfr,subsample_50pct_rescued_mean,subsample_50pct_induced_mean,subsample_50pct_delta_lfr_mean,subsample_50pct_delta_lfr_min,subsample_50pct_delta_lfr_max,subsample_50pct_sign_negative_fraction,subsample_25pct_delta_lfr_mean,subsample_25pct_sign_negative_fraction,subsample_12_5pct_delta_lfr_mean,subsample_12_5pct_sign_negative_fraction
surface_code_reinforcement_learning,reinforcement_learning,Z,40,292,154,-0.013800,146.206000,76.710000,0.013899,0.002400,0.025400,0.000000,0.014001,0.000000,0.013779,0.008000
surface_code_reinforcement_learning,reinforcement_learning,Z,50,336,190,-0.014600,168.458000,95.142000,0.014663,0.005000,0.025200,0.000000,0.014548,0.000000,0.014611,0.012000
surface_code_reinforcement_learning,reinforcement_learning,Z,60,395,227,-0.016800,197.740000,113.202000,0.016908,0.005800,0.026800,0.000000,0.016910,0.000000,0.016419,0.014000
surface_code_reinforcement_learning,reinforcement_learning,Z,70,505,255,-0.025000,252.700000,127.406000,0.025059,0.012200,0.036800,0.000000,0.024965,0.000000,0.024958,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,80,509,317,-0.019200,253.508000,157.612000,0.019179,0.007200,0.031000,0.000000,0.019614,0.000000,0.018869,0.010000
surface_code_reinforcement_learning,reinforcement_learning,Z,90,586,354,-0.023200,293.886000,177.996000,0.023178,0.009200,0.036200,0.000000,0.023570,0.000000,0.023842,0.002000
surface_code_reinforcement_learning,reinforcement_learning,Z,100,672,388,-0.028400,336.688000,192.718000,0.028794,0.015800,0.042800,0.000000,0.027922,0.000000,0.028338,0.002000
surface_code_traditional_calibration,traditional_calibration,X,10,93,41,-0.005200,46.364000,20.386000,0.005196,0.000800,0.010000,0.000000,0.005250,0.004000,0.005107,0.054000
surface_code_traditional_calibration,traditional_calibration,X,20,185,105,-0.008000,92.068000,51.668000,0.008080,0.001200,0.015800,0.000000,0.007692,0.010000,0.008093,0.032000
surface_code_traditional_calibration,traditional_calibration,X,30,290,125,-0.016500,144.300000,63.206000,0.016219,0.006800,0.024600,0.000000,0.016527,0.000000,0.016597,0.000000
surface_code_traditional_calibration,traditional_calibration,X,40,386,184,-0.020200,192.538000,91.090000,0.020290,0.010200,0.030600,0.000000,0.020130,0.000000,0.020184,0.002000
surface_code_traditional_calibration,traditional_calibration,X,50,452,236,-0.021600,226.248000,118.198000,0.021610,0.007800,0.035000,0.000000,0.021378,0.000000,0.021344,0.000000
surface_code_traditional_calibration,traditional_calibration,X,60,547,279,-0.026800,273.392000,138.746000,0.026929,0.015000,0.041400,0.000000,0.027169,0.000000,0.026730,0.000000
surface_code_traditional_calibration,traditional_calibration,X,70,642,347,-0.029500,321.498000,172.878000,0.029724,0.016800,0.045000,0.000000,0.029250,0.000000,0.029805,0.000000
surface_code_traditional_calibration,traditional_calibration,X,80,707,385,-0.032200,354.146000,191.532000,0.032523,0.018400,0.045200,0.000000,0.031697,0.000000,0.031923,0.000000
surface_code_traditional_calibration,traditional_calibration,X,90,794,425,-0.036900,398.130000,211.642000,0.037298,0.020200,0.053000,0.000000,0.036621,0.000000,0.036384,0.002000
surface_code_traditional_calibration,traditional_calibration,X,100,868,524,-0.034400,434.260000,262.290000,0.034394,0.020400,0.047800,0.000000,0.034512,0.000000,0.033714,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,10,83,47,-0.003600,41.924000,23.576000,0.003670,-0.000200,0.009000,0.002000,0.003465,0.044000,0.003670,0.098000
surface_code_traditional_calibration,traditional_calibration,Z,20,159,92,-0.006700,79.930000,45.810000,0.006824,0.000800,0.013600,0.000000,0.006746,0.008000,0.006227,0.060000
surface_code_traditional_calibration,traditional_calibration,Z,30,245,124,-0.012100,121.548000,61.378000,0.012034,0.003400,0.020400,0.000000,0.011955,0.000000,0.012357,0.008000
surface_code_traditional_calibration,traditional_calibration,Z,40,381,191,-0.019000,190.680000,95.716000,0.018993,0.010600,0.030200,0.000000,0.019130,0.000000,0.019035,0.002000
surface_code_traditional_calibration,traditional_calibration,Z,50,433,260,-0.017300,217.092000,129.010000,0.017616,0.006600,0.028200,0.000000,0.017197,0.000000,0.017438,0.006000
surface_code_traditional_calibration,traditional_calibration,Z,60,509,253,-0.025600,253.922000,125.898000,0.025605,0.015400,0.036600,0.000000,0.025686,0.000000,0.025371,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,70,567,327,-0.024000,282.970000,162.978000,0.023998,0.011200,0.035600,0.000000,0.023959,0.000000,0.024370,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,80,680,403,-0.027700,340.824000,200.922000,0.027980,0.014600,0.045000,0.000000,0.027338,0.000000,0.027813,0.002000
surface_code_traditional_calibration,traditional_calibration,Z,90,693,408,-0.028500,347.206000,203.166000,0.028808,0.015600,0.043800,0.000000,0.028670,0.000000,0.028926,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,100,830,504,-0.032600,415.594000,252.350000,0.032649,0.015800,0.048600,0.000000,0.033143,0.000000,0.032637,0.000000
